spend_id,campaign_id,spend_date,impressions,clicks,conversions,spend_idr,cpm,cpc,ctr
SPD00001,CAM0001,2023-06-11,25738,232,5,2644074,102730,11397,0.0090
SPD00002,CAM0001,2023-07-06,163698,3456,96,3246447,19832,939,0.0211
SPD00003,CAM0001,2023-08-16,141560,4124,71,393786,2782,95,0.0291
SPD00004,CAM0001,2023-06-18,195781,2127,84,871631,4452,410,0.0109
SPD00005,CAM0001,2023-06-28,48754,727,,4169370,85519,5735,0.0149
SPD00006,CAM0001,2023-08-11,19110,108,4,898361,47010,8318,0.0057
SPD00007,CAM0001,2023-06-15,73800,1509,,3470267,47023,2300,0.0204
SPD00008,CAM0002,2022-11-26,65124,728,25,1301232,19981,1787,0.0112
SPD00009,CAM0002,2022-12-10,49723,284,12,2927986,58886,10310,0.0057
SPD00010,CAM0002,2022-12-07,127471,3744,78,3931629,30843,1050,0.0294
SPD00011,CAM0003,2023-04-25,187877,3472,98,4931044,26246,1420,0.0185
SPD00012,CAM0003,2023-06-02,142221,2985,138,4240387,29815,1421,0.0210
SPD00013,CAM0003,2023-06-16,64540,1621,39,2379419,36867,1468,0.0251
SPD00014,CAM0003,2023-04-27,84579,445,17,1343371,15883,3019,0.0053
SPD00015,CAM0003,2023-05-22,80173,1341,,4326621,53966,3226,0.0167
SPD00016,CAM0003,2023-06-08,83541,436,9,2139575,25611,4907,0.0052
SPD00017,CAM0003,2023-04-08,148710,2132,69,3511420,23613,1647,0.0143
SPD00018,CAM0003,2023-05-09,47800,1093,47,2050463,42897,1876,0.0229
SPD00019,CAM0004,2022-05-12,25764,400,16,2480569,96280,6201,0.0155
SPD00020,CAM0004,2022-05-13,174989,4125,109,774317,4425,188,0.0236
SPD00021,CAM0005,2022-06-14,40815,499,17,2482826,60831,4976,0.0122
SPD00022,CAM0005,2022-07-04,54227,705,34,385647,7112,547,0.0130
SPD00023,CAM0005,2022-06-14,31810,383,10,268820,8451,702,0.0120
SPD00024,CAM0006,2023-08-28,28644,251,5,2813694,98230,11210,0.0088
SPD00025,CAM0006,2023-10-03,135651,4062,169,2970326,21897,731,0.0299
SPD00026,CAM0006,2023-08-19,43296,277,3,4143877,95710,14960,0.0064
SPD00027,CAM0006,2023-08-25,55382,1517,38,305826,5522,202,0.0274
SPD00028,CAM0006,2023-08-21,192349,2158,59,481104,2501,223,0.0112
SPD00029,CAM0007,2023-03-07,125805,2941,,1948581,15489,663,0.0234
SPD00030,CAM0007,2023-04-11,107006,2357,54,553881,5176,235,0.0220
SPD00031,CAM0007,2023-04-17,37018,419,7,636941,17206,1520,0.0113
SPD00032,CAM0007,2023-03-09,34603,377,3,2516095,72713,6674,0.0109
SPD00033,CAM0007,2023-02-25,108758,2689,,552265,5078,205,0.0247
SPD00034,CAM0007,2023-04-11,185461,3691,50,1522870,8211,413,0.0199
SPD00035,CAM0007,2023-04-14,28960,641,31,703755,24301,1098,0.0221
SPD00036,CAM0008,2022-05-06,98196,2073,86,1255517,12786,606,0.0211
SPD00037,CAM0008,2022-06-03,65994,852,30,3113512,47179,3654,0.0129
SPD00038,CAM0008,2022-05-31,197201,1937,47,1330215,6745,687,0.0098
SPD00039,CAM0009,2023-10-17,15351,263,5,4311189,280841,16392,0.0171
SPD00040,CAM0009,2023-10-09,153557,1484,58,2509588,16343,1691,0.0097
SPD00041,CAM0009,2023-10-05,23055,421,18,4743320,205739,11267,0.0183
SPD00042,CAM0009,2023-10-31,124034,622,15,1756374,14160,2824,0.0050
SPD00043,CAM0009,2023-09-17,167459,4424,86,731349,4367,165,0.0264
SPD00044,CAM0009,2023-11-03,54773,991,31,2575058,47013,2598,0.0181
SPD00045,CAM0010,2023-11-12,112427,2363,73,759351,6754,321,0.0210
SPD00046,CAM0010,2023-10-25,39019,369,,1098043,28141,2976,0.0095
SPD00047,CAM0010,2023-11-23,55231,412,17,4309659,78030,10460,0.0075
SPD00048,CAM0010,2023-11-25,168570,3798,93,794533,4713,209,0.0225
SPD00049,CAM0011,2022-03-24,59719,1277,55,4126364,69096,3231,0.0214
SPD00050,CAM0011,2022-03-27,99614,1887,50,3295972,33087,1747,0.0189
SPD00051,CAM0011,2022-03-27,166725,1941,,790458,4741,407,0.0116
SPD00052,CAM0012,2024-10-13,25430,727,10,2137919,84071,2941,0.0286
SPD00053,CAM0012,2024-10-21,106012,1032,20,1700704,16043,1648,0.0097
SPD00054,CAM0013,2023-12-30,32659,788,29,3782564,115820,4800,0.0241
SPD00055,CAM0013,2023-11-20,48728,1209,36,1526880,31335,1263,0.0248
