campaign_id,client_id,campaign_name,channel,start_date,end_date,budget_idr,actual_spend_idr,objective,status
CAM0001,CLT029,Harbolnas 2023,Instagram,2023-06-02,2023-08-16,12000000,12173077,lead_gen,completed
CAM0002,CLT005,Brand Awareness Q4,Facebook,2022-11-07,2022-12-10,41000000,42632830,traffic,active
CAM0003,CLT008,Independence Day 2023,YouTube,2023-04-08,2023-06-27,29000000,27262983,conversions,completed
CAM0004,CLT038,New Year Campaign 2022,TikTok,2022-05-04,2022-05-30,18000000,17551854,awareness,completed
CAM0005,CLT011,Conversion Boost 2022,IG,2022-06-03,2022-07-07,5000000,4658517,app_installs,completed
CAM0006,CLT031,Brand Awareness Q3,Instagram,2023-08-14,2023-10-03,49000000,50074145,traffic,completed
CAM0007,CLT017,App Install Drive 2023,LinkedIn,2023-02-10,2023-04-19,12000000,11506949,traffic,completed
CAM0008,CLT018,Retargeting Q2,Facebook,2022-05-03,2022-06-07,24000000,23256211,app_installs,completed
CAM0009,CLT019,Independence Day 2023,YouTube,2023-09-15,2023-11-19,22000000,20902077,lead_gen,completed
CAM0010,CLT006,App Install Drive 2023,YouTube,2023-10-23,2023-12-08,6000000,5209592,app_installs,active
CAM0011,CLT038,Independence Day 2022,TikTok,2022-03-24,2022-04-29,35000000,33382746,conversions,completed
CAM0012,CLT012,Back to School 2024,YouTube,2024-10-04,2024-10-29,35000000,32185727,conversions,active
CAM0013,CLT043,App Install Drive 2023,Instagram,2023-11-07,2024-01-12,49000000,46505596,lead_gen,completed
CAM0014,CLT049,Awareness Launch 2022,YouTube,2022-06-30,2022-08-23,21000000,19207749,lead_gen,completed
CAM0015,CLT033,Back to School 2024,Facebook,2024-08-04,2024-10-09,8000000,7100132,app_installs,completed
CAM0016,CLT049,Holiday Sale 2022,YouTube,2022-04-16,2022-05-26,22000000,21116566,conversions,paused
CAM0017,CLT029,Year End Promo 2022,YouTube,2022-09-06,2022-09-23,45000000,43729845,traffic,active
CAM0018,CLT020,Holiday Sale 2024,LinkedIn,2024-04-15,2024-05-10,19000000,19920577,awareness,completed
CAM0019,CLT030,Harbolnas 2024,Google,2024-10-17,2024-12-07,37000000,36670046,lead_gen,completed
CAM0020,CLT031,Christmas Sale 2022,IG,2022-10-24,2022-12-26,17000000,17584351,traffic,active
CAM0021,CLT005,New Year Campaign 2023,Instagram,2023-11-28,2024-02-14,22000000,22310417,conversions,completed
CAM0022,CLT038,Back to School 2022,YouTube,2022-11-01,2023-01-11,39000000,36927862,app_installs,completed
CAM0023,CLT049,Harbolnas 2023,YouTube,2023-10-22,2023-11-29,49000000,43990294,traffic,completed
CAM0024,CLT050,Awareness Launch 2024,TikTok,2024-08-26,2024-10-27,29000000,30382801,traffic,completed
CAM0025,CLT032,Retargeting Q4,Google,2024-10-25,2025-01-22,26000000,26622441,lead_gen,completed
CAM0026,CLT007,Lead Gen Property,YouTube,2022-02-01,2022-03-05,31000000,31749784,awareness,completed
CAM0027,CLT031,Back to School 2023,TikTok,2023-11-25,2024-01-28,46000000,39838900,app_installs,completed
CAM0028,CLT025,Holiday Sale 2022,YouTube,2022-03-15,2022-04-06,20000000,19524644,conversions,completed
CAM0029,CLT015,New Year Campaign 2022,YouTube,2022-07-21,2022-08-16,33000000,29148007,awareness,completed
CAM0030,CLT003,Year End Promo 2023,Instagram,2023-08-24,2023-10-22,28000000,26211846,app_installs,completed
