lead_id,campaign_id,client_id,created_date,status,lead_score,city,acquisition_channel
LED00001,CAM0490,CLT025,2024-01-18,contacted,44,Semarang,Website
LED00002,CAM0425,CLT007,2024-06-13,new,58,Balikpapan,Instagram
LED00003,CAM0289,CLT047,2022-11-10,new,76,Semarang,
LED00004,CAM0432,CLT001,2022-11-04,qualified,47,Medan,Google
LED00005,CAM0086,CLT024,2024-05-11,converted,86,Malang,
LED00006,CAM0354,CLT014,2024-05-22,contacted,3,Surabaya,TikTok
LED00007,CAM0172,CLT046,2023-10-17,contacted,48,Malang,Email
LED00008,CAM0164,CLT012,2024-05-17,lost,5,Semarang,Facebook
LED00009,CAM0044,CLT045,2022-09-24,new,27,Jakarta,
LED00010,CAM0471,CLT006,2024-02-15,qualified,50,Malang,
LED00011,CAM0155,CLT040,2023-10-17,qualified,97,Yogyakarta,Email
LED00012,CAM0280,CLT047,2022-10-29,lost,13,Makassar,
LED00013,CAM0190,CLT031,2023-09-27,contacted,57,Medan,Facebook
LED00014,CAM0470,CLT011,2022-01-13,contacted,91,Makassar,Google
LED00015,CAM0389,CLT047,2024-12-22,qualified,73,Surabaya,
LED00016,CAM0198,CLT048,2024-05-21,lost,68,Denpasar,Email
LED00017,CAM0083,CLT038,2024-09-05,contacted,6,Makassar,Google
LED00018,CAM0231,CLT042,2024-04-25,contacted,58,Depok,
LED00019,CAM0213,CLT004,2022-07-18,contacted,9,Palembang,
LED00020,CAM0478,CLT019,2025-01-01,contacted,94,Tangerang,Facebook
LED00021,CAM0225,CLT019,2023-06-11,qualified,78,Surabaya,Google
LED00022,CAM0123,CLT008,2024-08-16,qualified,78,Jakarta,TikTok
LED00023,CAM0228,CLT044,2023-06-22,converted,34,Tangerang,
LED00024,CAM0310,CLT048,2024-03-31,converted,8,Bogor,Facebook
LED00025,CAM0198,CLT048,2024-06-23,qualified,1,Semarang,Google
LED00026,CAM0448,CLT031,2022-03-24,converted,99,Surabaya,Website
LED00027,CAM0271,CLT019,2023-09-22,converted,42,Bekasi,Instagram
LED00028,CAM0485,CLT040,2022-08-21,qualified,41,Yogyakarta,Instagram
LED00029,CAM0393,CLT016,2024-07-26,lost,8,Bogor,TikTok
LED00030,CAM0271,CLT019,2023-10-12,converted,91,Semarang,TikTok
